Streaming output truncated to the last 5000 lines.
2026-05-10 02:44:15,445 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170101.taz rows=635
2026-05-10 02:47:13,221 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180178.taz rows=546
2026-05-10 02:47:13,334 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=327 total_rows=327
2026-05-10 02:47:13,335 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180179.taz rows=327
2026-05-10 02:47:13,824 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1506 total_rows=1506
2026-05-10 02:47:13,826 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180180.taz rows=1506
2026-05-10 02:47:14,030 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=639 total_rows=639
2026-05-10 02:47:14,032 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180181.taz rows=639
2026-05-10 02:47:14,387 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1142 total_rows=1142
2026-05-10 02:47:14,389 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180182.taz rows=1142
2026-05-10 02:47:14,468 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=220 total_rows=220
2026-05-10 02:47:14,469 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180183.taz rows=220
2026-05-10 02:47:14,590 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=375 total_rows=375
2026-05-10 02:47:14,591 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180184.taz rows=375
2026-05-10 02:47:14,954 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1186 total_rows=1186
2026-05-10 02:47:14,956 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180185.taz rows=1186
2026-05-10 02:47:15,169 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=676 total_rows=676
2026-05-10 02:47:15,171 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180186.taz rows=676
2026-05-10 02:47:15,252 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=226 total_rows=226
2026-05-10 02:47:15,253 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180187.taz rows=226
2026-05-10 02:47:15,448 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=598 total_rows=598
2026-05-10 02:47:15,450 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180188.taz rows=598
2026-05-10 02:47:15,731 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=875 total_rows=875
2026-05-10 02:47:15,733 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180189.taz rows=875
2026-05-10 02:47:16,046 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1004 total_rows=1004
2026-05-10 02:47:16,048 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180190.taz rows=1004
2026-05-10 02:47:16,293 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=660 total_rows=660
2026-05-10 02:47:16,295 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180191.taz rows=660
2026-05-10 02:47:16,526 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=725 total_rows=725
2026-05-10 02:47:16,527 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180192.taz rows=725
2026-05-10 02:47:17,064 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1650 total_rows=1650
2026-05-10 02:47:17,067 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180193.taz rows=1650
2026-05-10 02:47:17,441 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1159 total_rows=1159
2026-05-10 02:47:17,443 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180194.taz rows=1159
2026-05-10 02:47:17,750 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=952 total_rows=952
2026-05-10 02:47:17,752 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180195.taz rows=952
